ID	EDAD	INGRE	GENERO	ECIVIL	HIJOS	NUMTC	FPAGO	HIPOTECA	TALMAC	CREDITOS	RIESGO
100756	44	59944	m	Casado  	1	2	Mensual	s	2	0	Bueno 
100668	35	59692	m	Casado  	1	1	Mensual	s	1	0	Malo  
100418	34	59508	m	Casado  	1	1	Mensual	s	2	1	Bueno 
100416	34	59463	m	Casado  	0	2	Mensual	s	1	1	Malo  
100590	39	59393	f	Casado  	0	2	Mensual	s	1	0	Bueno 
100657	41	59276	m	Casado  	1	2	Mensual	s	1	1	Bueno 
100702	42	59201	m	Casado  	0	1	Mensual	s	2	0	Bueno 
100319	31	59193	f	Casado  	1	2	Mensual	s	1	1	Bueno 
100666	28	59179	m	Casado  	1	1	Mensual	s	2	1	Malo  
100389	30	59036	m	Casado  	1	1	Mensual	s	2	1	Bueno 
100758	38	58914	m	Casado  	0	1	Mensual	s	1	1	Medio
100695	36	58878	f	Casado  	1	1	Mensual	s	1	0	Medio
100698	42	58785	f	Casado  	0	2	Mensual	s	1	0	Bueno 
100769	44	58529	m	Casado  	0	1	Mensual	s	1	0	Malo  
100376	33	58505	f	Casado  	0	2	Mensual	s	1	0	Bueno 
100796	45	58381	m	Casado  	1	1	Mensual	s	1	0	Bueno 
100414	34	58026	m	Casado  	0	1	Mensual	s	2	0	Bueno 
100354	32	57718	m	Casado  	1	2	Mensual	s	1	1	Medio
100452	35	57689	m	Casado  	1	1	Mensual	s	2	1	Bueno 
100567	38	57683	f	Casado  	1	1	Mensual	s	2	1	Malo  
100728	28	57623	m	Casado  	1	1	Mensual	s	1	1	Malo  
100725	43	57598	f	Casado  	1	1	Mensual	s	1	1	Bueno 
100665	41	57520	f	Casado  	1	1	Mensual	s	1	0	Malo  
100730	43	57388	f	Casado  	0	1	Mensual	s	1	0	Malo  
100766	44	57376	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100524	37	57004	f	Casado  	1	1	Mensual	s	2	0	Bueno 
100412	34	56891	m	Casado  	1	1	Mensual	s	2	1	Medio
100374	33	56849	m	Casado  	1	1	Mensual	s	1	1	Bueno 
100566	38	56590	m	Casado  	0	2	Mensual	s	1	0	Malo  
100591	39	56523	m	Casado  	1	1	Mensual	s	2	0	Bueno 
100421	34	56486	m	Casado  	0	1	Mensual	s	1	1	Medio
100670	41	56470	m	Casado  	0	2	Mensual	s	1	0	Malo  
100379	33	56087	m	Casado  	1	2	Mensual	s	1	1	Medio
100292	30	56087	f	Casado  	0	1	Mensual	s	1	1	Medio
100326	31	55897	m	Casado  	1	2	Mensual	s	2	0	Bueno 
100497	36	55777	f	Casado  	1	2	Mensual	s	2	0	Malo  
100568	38	55752	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100294	30	55642	f	Casado  	1	2	Mensual	s	1	0	Bueno 
100570	38	55565	m	Casado  	1	2	Mensual	s	1	0	Bueno 
100347	36	55554	f	Casado  	0	1	Mensual	s	1	0	Bueno 
100425	34	55497	m	Casado  	1	1	Mensual	s	2	1	Medio
100494	36	55421	m	Casado  	0	2	Mensual	s	2	0	Bueno 
100592	39	55390	f	Casado  	0	1	Mensual	s	1	0	Medio
100601	39	55215	m	Casado  	0	2	Mensual	s	2	0	Bueno 
100700	42	55140	m	Casado  	1	2	Mensual	s	1	0	Bueno 
100563	38	55112	m	Casado  	1	2	Mensual	s	2	1	Bueno 
100486	36	54938	m	Casado  	0	2	Mensual	s	1	0	Bueno 
100348	32	54792	m	Casado  	1	1	Mensual	s	2	0	Bueno 
100672	41	54777	m	Casado  	1	2	Mensual	s	1	1	Bueno 
100450	35	54673	f	Casado  	1	2	Mensual	s	2	1	Medio
100629	28	54671	m	Casado  	0	2	Mensual	s	1	0	Bueno 
100386	33	54603	f	Casado  	1	2	Mensual	s	1	1	Bueno 
100757	44	54451	m	Casado  	0	1	Mensual	s	2	1	Bueno 
100488	36	54021	m	Casado  	1	1	Mensual	s	2	1	Medio
100383	33	54013	f	Casado  	0	1	Mensual	s	2	0	Bueno 
100770	44	53983	f	Casado  	1	2	Mensual	s	2	0	Medio
100795	45	53842	f	Casado  	0	2	Mensual	s	1	0	Bueno 
100415	34	53791	m	Casado  	0	1	Mensual	s	1	1	Bueno 
100597	39	53731	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100794	45	53704	m	Casado  	1	2	Mensual	s	2	1	Bueno 
100755	44	53660	f	Casado  	1	1	Mensual	s	1	1	Bueno 
100390	33	53559	f	Casado  	1	2	Mensual	s	1	0	Bueno 
100345	32	53552	f	Casado  	0	2	Mensual	s	1	1	Bueno 
100753	44	53550	m	Casado  	1	1	Mensual	s	1	1	Malo  
100492	36	53365	m	Casado  	0	1	Mensual	s	2	0	Medio
100694	42	53307	m	Casado  	0	2	Mensual	s	1	1	Malo  
100448	35	53201	m	Casado  	0	1	Mensual	s	2	0	Bueno 
100384	33	53195	m	Casado  	1	2	Mensual	s	1	1	Bueno 
100630	40	53180	f	Casado  	1	2	Mensual	s	1	0	Bueno 
100381	33	53115	f	Casado  	0	2	Mensual	s	1	0	Malo  
100761	44	53102	m	Casado  	1	1	Mensual	s	1	0	Bueno 
100350	32	52973	m	Casado  	1	1	Mensual	s	1	0	Medio
100352	32	52961	f	Casado  	1	1	Mensual	s	2	1	Medio
100385	33	52896	m	Casado  	0	2	Mensual	s	2	1	Medio
100626	38	52887	m	Casado  	0	2	Mensual	s	2	0	Bueno 
100768	44	52772	m	Casado  	1	2	Mensual	s	2	1	Bueno 
100295	30	52725	m	Casado  	0	2	Mensual	s	1	0	Bueno 
100526	37	52545	f	Casado  	1	1	Mensual	s	2	0	Bueno 
100325	31	52540	f	Casado  	0	2	Mensual	s	1	0	Medio
100599	39	52495	f	Casado  	1	2	Mensual	s	1	1	Bueno 
100603	39	52173	f	Casado  	0	2	Mensual	s	2	0	Medio
100346	32	52118	m	Casado  	1	2	Mensual	s	1	1	Medio
100377	33	51945	f	Casado  	1	1	Mensual	s	1	1	Bueno 
100727	36	51939	m	Casado  	0	1	Mensual	s	1	0	Medio
100671	41	51859	f	Casado  	0	2	Mensual	s	1	1	Medio
100767	44	51724	m	Casado  	1	1	Mensual	s	2	1	Malo  
100697	26	51561	m	Casado  	0	2	Mensual	s	1	0	Bueno 
100765	44	51498	m	Casado  	0	1	Mensual	s	2	1	Malo  
100797	45	51385	f	Casado  	0	1	Mensual	s	2	0	Bueno 
100324	31	51383	f	Casado  	0	2	Mensual	s	2	1	Medio
100419	34	51219	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100662	37	50833	m	Casado  	1	1	Mensual	s	2	1	Bueno 
100754	44	50816	m	Casado  	0	2	Mensual	s	1	1	Medio
100375	33	50808	f	Casado  	1	2	Mensual	s	2	0	Malo  
100490	36	50799	m	Casado  	1	2	Mensual	s	1	0	Bueno 
100664	33	50631	f	Casado  	0	2	Mensual	s	1	0	Bueno 
100621	40	50621	f	Casado  	1	2	Mensual	s	1	0	Medio
100793	45	50552	m	Casado  	0	1	Mensual	s	2	0	Bueno 
100493	36	50515	f	Casado  	0	1	Mensual	s	1	1	Bueno 
100593	39	50445	m	Casado  	0	1	Mensual	s	2	1	Malo  
100500	36	50302	m	Casado  	1	2	Mensual	s	1	0	Medio
100322	31	50295	f	Casado  	1	1	Mensual	s	1	0	Medio
100628	40	50199	f	Casado  	0	1	Mensual	s	2	0	Medio
100571	38	50076	m	Casado  	1	1	Mensual	s	1	1	Medio
100529	37	50075	m	Casado  	0	2	Mensual	s	1	0	Medio
100535	37	49988	f	Casado  	1	2	Mensual	s	2	0	Bueno 
100799	45	49866	f	Casado  	0	1	Mensual	s	1	0	Bueno 
100660	41	49850	m	Casado  	0	2	Mensual	s	1	1	Bueno 
100731	43	49789	f	Casado  	0	2	Mensual	s	1	0	Bueno 
100344	32	49745	m	Casado  	0	1	Mensual	s	2	1	Malo  
100373	33	49678	m	Casado  	0	2	Mensual	s	1	0	Bueno 
100622	35	49600	m	Casado  	1	2	Mensual	s	2	1	Bueno 
100594	39	49529	f	Casado  	1	1	Mensual	s	2	0	Bueno 
100705	42	49485	m	Casado  	1	1	Mensual	s	1	1	Bueno 
100605	39	49415	m	Casado  	0	1	Mensual	s	1	0	Bueno 
100487	36	49409	m	Casado  	1	2	Mensual	s	1	1	Bueno 
100604	39	49407	m	Casado  	1	2	Mensual	s	1	0	Medio
100378	33	49075	m	Casado  	1	2	Mensual	s	1	0	Medio
100382	33	49008	f	Casado  	1	2	Mensual	s	2	0	Bueno 
100423	34	49007	m	Casado  	1	1	Mensual	s	1	0	Medio
100532	37	48931	m	Casado  	1	2	Mensual	s	2	0	Malo  
100802	45	48607	f	Casado  	1	2	Mensual	s	2	1	Bueno 
100623	28	48599	m	Casado  	0	1	Mensual	s	1	1	Medio
100388	33	48511	m	Casado  	0	1	Mensual	s	1	0	Bueno 
100693	42	48414	m	Casado  	1	2	Mensual	s	1	0	Bueno 
100293	30	48336	m	Casado  	1	2	Mensual	s	2	0	Malo  
100489	36	48084	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100527	37	48061	f	Casado  	1	2	Mensual	s	1	0	Bueno 
100411	34	47833	m	Casado  	1	1	Mensual	s	1	0	Malo  
100495	36	47734	m	Casado  	0	2	Mensual	s	1	1	Bueno 
100732	43	47623	f	Casado  	0	2	Mensual	s	2	1	Malo  
100422	34	47623	m	Casado  	0	1	Mensual	s	2	1	Bueno 
100661	41	47568	f	Casado  	0	2	Mensual	s	2	1	Bueno 
100539	37	47470	f	Casado  	1	1	Mensual	s	1	0	Bueno 
100499	36	47422	f	Casado  	0	2	Mensual	s	1	1	Malo  
100595	39	47161	m	Casado  	1	2	Mensual	s	1	1	Bueno 
100798	29	47111	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100759	44	47035	m	Casado  	0	1	Mensual	s	2	0	Medio
100456	35	47026	m	Casado  	1	2	Mensual	s	1	0	Bueno 
100596	39	47019	m	Casado  	0	1	Mensual	s	1	1	Bueno 
100706	42	46965	f	Casado  	1	1	Mensual	s	2	1	Bueno 
100323	31	46955	m	Casado  	0	2	Mensual	s	2	1	Bueno 
100451	35	46949	f	Casado  	0	2	Mensual	s	1	1	Bueno 
100565	38	46823	m	Casado  	0	1	Mensual	s	1	1	Bueno 
100491	36	46785	f	Casado  	1	1	Mensual	s	2	1	Medio
100458	35	46645	m	Casado  	1	1	Mensual	s	2	0	Malo  
100701	42	46501	f	Casado  	1	2	Mensual	s	1	1	Bueno 
100569	38	46168	f	Casado  	1	1	Mensual	s	2	1	Bueno 
100707	42	46119	m	Casado  	1	1	Mensual	s	2	0	Bueno 
100625	40	45993	f	Casado  	1	2	Mensual	s	1	0	Malo  
100468	36	45970	m	Casado  	0	1	Mensual	s	1	0	Bueno 
100470	36	45949	f	Casado  	1	1	Mensual	s	2	0	Medio
100579	39	45904	f	Casado  	1	1	Mensual	s	1	0	Bueno 
100453	35	45869	f	Casado  	0	2	Mensual	s	1	1	Bueno 
100516	37	45849	m	Casado  	1	2	Mensual	s	2	1	Malo  
100581	39	45841	f	Casado  	1	2	Mensual	s	1	0	Malo  
100338	32	45813	f	Casado  	1	1	Mensual	s	1	0	Malo  
100578	39	45750	f	Casado  	0	1	Mensual	s	1	1	Medio
100561	38	45721	m	Casado  	0	1	Mensual	s	1	1	Medio
100282	30	45715	m	Casado  	0	2	Mensual	s	1	1	Bueno 
100684	32	45712	f	Casado  	1	2	Mensual	s	1	0	Medio
100273	30	45706	f	Casado  	0	2	Mensual	s	1	1	Bueno 
100343	32	45687	m	Casado  	1	2	Mensual	s	2	1	Bueno 
100485	36	45673	m	Casado  	0	1	Mensual	s	2	0	Bueno 
100472	36	45659	f	Casado  	0	1	Mensual	s	2	1	Bueno 
100688	42	45654	m	Casado  	0	2	Mensual	s	1	0	Bueno 
100512	37	45621	m	Casado  	0	1	Mensual	s	1	0	Bueno 
