response;branch;gender;gold_card;income;marital;months_current_account;loan_accounts;number_products;number_transactions;white_collar_percentage
"NO";"Kingsville";"M";0;51923.000000;"M";15;2;3;3;44
"NO";"Kingsville";"M";0;51923.000000;"S";40;0;0;0;44
"NO";"Queensbury";"F";0;51946.000000;"U";10;0;0;0;39
"NO";"Ravensville";"M";0;51893.000000;"S";21;0;3;1;30
"NO";"Princeton";"F";0;51943.000000;"M";37;0;0;0;28
"SI";"Catburg";"M";0;51858.000000;"U";19;0;0;13;21
"NO";"Princeton";"F";0;51941.000000;"U";-5;3;0;0;32
"NO";"Kingsville";"M";0;51854.000000;"U";17;0;0;0;27
"NO";"Catburg";"F";0;51893.000000;"U";25;3;1;1;28
"NO";"Princeton";"F";0;51929.000000;"S";16;0;2;2;35
"NO";"Princeton";"M";0;51894.000000;"M";5;4;4;1;28
"NO";"Catburg";"M";0;51894.000000;"U";18;2;4;3;28
"NO";"Princeton";"M";0;51907.000000;"S";32;1;0;0;34
"NO";"Kingsville";"M";0;51919.000000;"S";17;0;0;1;27
"NO";"Catburg";"M";0;51854.000000;"U";28;2;4;2;46
"NO";"Princeton";"M";0;51919.000000;"S";31;3;5;2;27
"NO";"Kingsville";"M";0;51924.000000;"S";36;0;0;0;23
"NO";"Foxton";"F";0;51864.000000;"S";14;0;2;1;18
"SI";"Ravensville";"M";0;51891.000000;"S";14;0;3;17;23
"NO";"Ravensville";"M";0;51880.000000;"M";33;3;0;0;34
"NO";"Foxton";"M";0;51928.000000;"M";24;2;2;2;44
"NO";"Catburg";"F";0;51917.000000;"U";-4;3;0;0;26
"NO";"Kingsville";"M";0;51891.000000;"M";13;4;0;0;38
"NO";"Foxton";"F";0;51805.000000;"S";26;4;0;0;48
"NO";"Catburg";"M";0;51799.000000;"S";7;0;0;0;33
"NO";"Kingsville";"F";0;51771.000000;"U";12;1;0;0;28
"NO";"Ravensville";"M";0;51822.000000;"U";28;1;0;0;21
"NO";"Foxton";"M";0;51828.000000;"S";-5;0;0;0;37
"NO";"Princeton";"M";0;51847.000000;"U";40;0;0;23;41
"NO";"Catburg";"M";0;51843.000000;"M";12;1;0;0;27
"NO";"Princeton";"M";0;51837.000000;"S";-4;3;0;0;60
"NO";"Foxton";"M";0;51766.000000;"M";33;3;5;3;15
"NO";"Catburg";"M";0;51768.000000;"M";11;1;0;0;24
"NO";"Princeton";"F";0;51806.000000;"U";12;2;0;0;32
"SI";"Ravensville";"M";1;51785.000000;"M";7;6;4;1;28
"NO";"Ravensville";"M";0;51755.000000;"M";-7;0;0;0;34
"NO";"Catburg";"F";0;51835.000000;"M";32;1;3;1;18
"NO";"Kingsville";"M";0;51768.000000;"M";35;2;4;3;24
"NO";"Foxton";"F";0;51768.000000;"U";8;0;0;0;33
"NO";"Kingsville";"F";1;51772.000000;"M";32;0;0;0;26
"NO";"Ravensville";"M";0;51790.000000;"S";-3;0;1;0;42
"NO";"Ravensville";"F";0;51762.000000;"M";37;3;2;1;40
"NO";"Princeton";"F";0;51832.000000;"S";19;2;1;1;31
"NO";"Kingsville";"F";0;51786.000000;"S";29;0;3;1;23
"SI";"Ravensville";"M";0;51741.000000;"S";18;1;4;2;34
"NO";"Queensbury";"M";0;51714.000000;"U";25;1;0;0;27
"NO";"Princeton";"M";0;51655.000000;"S";34;3;0;0;41
"NO";"Queensbury";"M";0;51684.000000;"S";24;0;0;0;19
"NO";"Princeton";"M";1;51684.000000;"S";26;3;4;1;19
"SI";"Catburg";"F";0;51658.000000;"U";21;1;2;1;32
"NO";"Queensbury";"F";0;51717.000000;"U";21;5;0;0;28
"NO";"Ravensville";"M";0;51703.000000;"M";14;1;5;3;48
"NO";"Ravensville";"M";0;51716.000000;"S";28;1;2;1;26
