response;age;age_youngest_child;average#balance#feed#index;branch;debt_equity;gender;bad_payment;gold_card;pension_plan;household_debt_to_equity_ratio;income;marital;members_in_household;months_current_account;months_customer;call_center_contacts;loan_accounts;number_products;number_transactions;non_worker_percentage;white_collar_percentage;rfm_score
"NO";19;0;0;"Ravensville";19;"M";0;0;0;64;13362.000000;"S";2;-4;"0";1;1;1;0;9;26;0.000000
"NO";44;12;0;"Catburg";44;"M";0;0;0;65;13453.000000;"S";2;17;"24";0;0;0;0;14;19;0.000000
"NO";45;12;75;"Ravensville";45;"F";0;0;0;65;13453.000000;"U";2;33;"36";0;4;2;1;14;19;7.602330
"SI";43;12;161;"Catburg";43;"F";0;0;0;65;13453.000000;"U";2;34;"36";0;0;3;2;14;19;10.143000
"NO";42;11;0;"Kingsville";42;"F";0;0;0;65;13453.000000;"M";2;22;"24";0;0;0;0;14;19;0.000000
"NO";39;7;521;"Princeton";39;"F";0;0;0;65;13453.000000;"S";2;26;"36";0;0;0;3;14;19;9.854320
"NO";23;0;0;"Princeton";23;"F";0;0;0;65;13453.000000;"S";2;30;"36";0;1;0;0;14;19;0.000000
"NO";24;0;0;"Foxton";24;"M";0;0;0;65;13453.000000;"S";2;-2;"0";0;0;0;0;14;19;0.000000
"NO";35;8;0;"Queensbury";35;"M";0;0;0;65;13453.000000;"M";2;22;"24";0;1;0;0;14;19;0.000000
"NO";43;12;0;"Foxton";43;"M";0;0;0;47;14124.000000;"U";3;40;"48";3;1;0;0;16;35;0.000000
"NO";51;19;0;"Catburg";51;"M";0;0;0;50;14838.000000;"S";2;33;"36";3;0;0;0;9;39;0.000000
"SI";67;39;174;"Foxton";67;"M";0;0;0;50;14838.000000;"S";2;16;"24";3;0;4;1;9;39;10.959000
"NO";31;0;0;"Ravensville";31;"M";0;0;0;50;14838.000000;"S";3;0;"12";3;3;0;0;9;39;0.000000
"NO";30;3;0;"Catburg";30;"F";0;0;0;50;14838.000000;"S";3;20;"24";3;2;0;0;9;39;0.000000
"NO";32;4;699;"Kingsville";32;"M";0;0;0;32;14783.000000;"M";2;36;"48";6;3;2;1;25;42;11.792300
"NO";46;11;665;"Kingsville";46;"M";0;0;0;32;14783.000000;"M";2;6;"12";6;3;2;1;25;42;7.799000
"NO";70;38;73;"Ravensville";70;"F";0;0;0;32;14783.000000;"M";1;35;"36";6;2;2;2;25;42;11.803300
"NO";28;1;220;"Ravensville";28;"F";0;0;0;32;14783.000000;"S";2;35;"36";6;0;4;2;25;42;8.706990
"SI";39;11;748;"Catburg";39;"M";0;0;0;32;14783.000000;"S";2;16;"24";6;2;4;3;25;42;12.406700
"NO";38;7;0;"Kingsville";38;"M";0;0;0;32;14783.000000;"U";2;-6;"0";6;1;0;0;25;42;0.000000
"NO";32;1;0;"Kingsville";32;"F";0;0;0;32;14783.000000;"S";2;-6;"0";6;0;0;0;25;42;0.000000
"NO";31;0;0;"Princeton";31;"F";0;0;0;32;14783.000000;"S";2;17;"24";6;0;0;0;25;42;0.000000
"NO";36;7;0;"Kingsville";36;"F";0;0;0;32;14783.000000;"M";2;-1;"0";6;1;0;0;25;42;0.000000
"NO";50;23;0;"Foxton";50;"F";0;0;0;40;14972.000000;"U";1;-5;"0";4;0;0;0;20;38;0.000000
"SI";49;18;241;"Queensbury";49;"F";0;0;0;77;15494.000000;"M";7;28;"36";1;1;2;1;6;16;10.352300
"NO";38;11;397;"Kingsville";38;"F";0;0;0;38;15512.000000;"S";5;30;"36";5;1;5;4;11;49;13.587300
"NO";25;0;0;"Ravensville";25;"F";0;0;0;60;15533.000000;"S";3;-3;"0";2;2;1;0;9;29;0.000000
"NO";38;9;0;"Queensbury";38;"M";0;0;0;60;15535.000000;"U";7;19;"24";1;1;0;0;15;24;0.000000
"NO";37;7;0;"Princeton";37;"M";0;0;0;58;15562.000000;"M";7;11;"24";1;0;0;0;10;31;0.000000
"NO";42;14;0;"Ravensville";42;"F";0;0;0;58;15562.000000;"U";7;-2;"0";1;2;0;0;10;31;0.000000
"NO";34;5;0;"Kingsville";34;"M";0;0;0;58;15562.000000;"S";7;27;"36";1;0;0;0;10;31;0.000000
"NO";23;0;0;"Ravensville";23;"M";0;0;0;58;15562.000000;"S";7;7;"12";1;0;0;0;10;31;0.000000
"NO";54;29;76;"Ravensville";54;"M";0;0;0;42;15576.000000;"S";1;39;"48";4;0;2;1;17;40;7.702330
"NO";31;0;102;"Ravensville";31;"M";0;0;0;42;15576.000000;"S";2;6;"12";4;1;3;2;17;40;8.560660
"NO";35;6;0;"Foxton";35;"F";0;0;0;42;15576.000000;"S";2;-3;"0";4;1;1;0;17;40;0.000000
"NO";77;48;139;"Princeton";77;"M";0;0;0;60;16292.000000;"M";2;36;"48";1;2;4;3;16;23;9.791600
"SI";57;28;499;"Foxton";57;"F";0;0;0;60;16292.000000;"S";2;15;"24";1;7;1;1;16;23;10.299000
"NO";40;11;0;"Ravensville";40;"M";0;0;0;54;16265.000000;"S";6;37;"48";2;0;0;0;15;29;0.000000
"NO";24;0;0;"Queensbury";24;"F";0;0;0;60;16287.000000;"S";3;17;"24";1;1;0;0;7;32;0.000000
