"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"Sepal.Area"	"Petal.Area"	"Sepal.Ratio"	"Petal.Ratio"
5.1	3.5	1.4	0.2	"setosa"	17.85	0.28	1.45714285714286	7
4.9	3	1.4	0.2	"NA"	14.7	0.28	1.63333333333333	7
	3.2	1.3	0.2	"setosa"	15.04	0.26	1.46875	6.5
4.6	3.1	1.5	0.2	"setosa"	14.26	0.3	1.48387096774194	7.5
5	3.6		0.2	"setosa"	18	0.28	1.38888888888889	7
5.4	3.9	1.7	0.4	"setosa"	21.06			4.25
4.6	3.4	1.4	0.3	"setosa"	15.64	0.42	1.35294117647059	4.66666666666667
		1.5	0.2	"NA"	17	0.3		7.5
4.4	2.9	1.4	0.2	"setosa"	12.76	0.28	1.51724137931034	7
4.9	3.1	1.5	0.1	"setosa"	15.19	0.15	1.58064516129032	15
5.4	3.7	1.5	0.2	"setosa"	19.98	0.3	1.45945945945946	7.5
